nroErrores;Error;GÉNERO;AÑO;GRADO;GRUPO;FECHA DE NACIMIENTO;EDAD;NIVEL;CATEGORÍA;UNIDAD ACADÉMICA;SEDE;PROGRAMA EDUCATIVO;NACIONALIDAD;ESTADO DE NACIMIENTO;LENGUA INDÍGENA;Núm. ALUMNOS
632;Error en formato de fecha;M;2020           ;13             ;               ;1989/06/26;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;PUEBLA         ;             ;1              
633;Error en formato de fecha;H;2020           ;13             ;               ;1988/11/26;32             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
634;Error en formato de fecha;H;2020           ;13             ;               ;1993/08/07;27             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;PUEBLA         ;             ;1              
635;Error en formato de fecha;H;2020           ;13             ;               ;1991/01/05;29             ;DOCTORADO   ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;SAN LUIS POTOSÍ;             ;1              
636;Error en formato de fecha;M;2020           ;13             ;               ;1991/05/14;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO INTERINSTIT;MEXICANA;GUERRERO       ;             ;1              
637;Error en formato de fecha;H;2020           ;11             ;               ;1987/07/03;33             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;TLAXCALA       ;             ;1              
638;Error en formato de fecha;M;2020           ;11             ;               ;1991/02/16;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;CDMX           ;             ;1              
639;Error en formato de fecha;M;2020           ;13             ;               ;1976/04/24;44             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;CDMX           ;             ;1              
640;Error en formato de fecha;H;2020           ;11             ;               ;1969/05/30;51             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;PUEBLA         ;             ;1              
641;Error en formato de fecha;H;2020           ;13             ;               ;1978/01/12;42             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
642;Error en formato de fecha;H;2020           ;13             ;               ;1991/04/16;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;MÉXICO         ;             ;1              
643;Error en formato de fecha;M;2020           ;13             ;               ;1984/04/10;36             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO INTERINSTIT;MEXICANA;CHIHUAHUA      ;             ;1              
644;Error en formato de fecha;H;2020           ;13             ;               ;1991/07/22;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;VERACRUZ       ;             ;1              
645;Error en formato de fecha;H;2020           ;13             ;               ;1984/02/20;36             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;VERACRUZ       ;             ;1              
646;Error en formato de fecha;H;2020           ;13             ;               ;1990/09/16;30             ;DOCTORADO   ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;OAXACA         ;             ;1              
647;Error en formato de fecha;M;2020           ;13             ;               ;1984/10/05;36             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO INTERINSTIT;MEXICANA;CDMX           ;             ;1              
648;Error en formato de fecha;H;2020           ;11             ;               ;1991/03/23;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;DOCTORADO EN INGENIER;MEXICANA;PUEBLA         ;             ;1              
649;Error en formato de fecha;M;2020           ;13             ;               ;1992/11/15;28             ;DOCTORADO   ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
650;Error en formato de fecha;M;2020           ;14             ;               ;1990/01/20;30             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;VERACRUZ       ;             ;1              
651;Error en formato de fecha;H;2020           ;14             ;               ;1982/12/10;37             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
652;Error en formato de fecha;H;2020           ;13             ;               ;1991/01/24;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;DURANGO        ;             ;1              
653;Error en formato de fecha;M;2020           ;13             ;               ;1987/11/26;33             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;VERACRUZ       ;             ;1              
654;Error en formato de fecha;H;2020           ;13             ;               ;1989/05/19;31             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;COAHUILA       ;             ;1              
655;Error en formato de fecha;M;2020           ;13             ;               ;1993/05/28;27             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;DURANGO        ;             ;1              
656;Error en formato de fecha;M;2020           ;14             ;               ;1978/12/09;41             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
657;Error en formato de fecha;H;2020           ;13             ;               ;1979/05/08;41             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;OAXACA         ;             ;1              
658;Error en formato de fecha;M;2020           ;13             ;               ;1988/05/20;32             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
659;Error en formato de fecha;H;2020           ;14             ;               ;1985/05/08;35             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;JALISCO        ;             ;1              
660;Error en formato de fecha;H;2020           ;14             ;               ;1988/12/24;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN ZOOTECNIA         ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;OAXACA         ;             ;1              
661;Error en formato de fecha;H;2020           ;13             ;               ;1990/02/07;30             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;VERACRUZ       ;             ;1              
662;Error en formato de fecha;M;2020           ;14             ;               ;1988/04/04;32             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
663;Error en formato de fecha;H;2020           ;13             ;               ;1990/07/30;30             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;PARAGUAY;EXTRANJERO     ;             ;1              
664;Error en formato de fecha;M;2020           ;14             ;               ;1988/12/29;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
665;Error en formato de fecha;H;2020           ;13             ;               ;1988/02/06;32             ;DOCTORADO   ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;DOCTORADO EN PROBLEMA;MEXICANA;CDMX           ;             ;1              
666;Error en formato de fecha;H;2020           ;14             ;               ;1971/06/21;49             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
667;Error en formato de fecha;M;2020           ;13             ;               ;1993/11/25;27             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
668;Error en formato de fecha;H;2020           ;14             ;               ;1990/12/03;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN ZOOTECNIA         ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;OAXACA         ;             ;1              
669;Error en formato de fecha;M;2020           ;13             ;               ;1987/04/14;33             ;DOCTORADO   ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;DOCTORADO EN PROBLEMA;MEXICANA;CDMX           ;             ;1              
670;Error en formato de fecha;H;2020           ;14             ;               ;1989/01/02;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN ZOOTECNIA         ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MORELOS        ;             ;1              
671;Error en formato de fecha;M;2020           ;14             ;               ;1970/12/25;49             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
672;Error en formato de fecha;M;2020           ;13             ;               ;1993/07/09;27             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;GUERRERO       ;             ;1              
673;Error en formato de fecha;M;2020           ;14             ;               ;1986/08/29;34             ;DOCTORADO   ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CHIAPAS        ;             ;1              
674;Error en formato de fecha;H;2020           ;14             ;               ;1992/02/17;28             ;DOCTORADO   ;COMPLETO      ;DEIS EN ZOOTECNIA         ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
675;Error en formato de fecha;M;2020           ;13             ;               ;1992/12/31;27             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;CDMX           ;             ;1              
676;Error en formato de fecha;H;2020           ;13             ;               ;1990/02/22;30             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;OAXACA         ;             ;1              
677;Error en formato de fecha;H;2020           ;13             ;               ;1993/03/22;27             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;OAXACA         ;             ;1              
678;Error en formato de fecha;M;2020           ;13             ;               ;1973/11/02;47             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;VENEZOLA;EXTRANJERO     ;             ;1              
679;Error en formato de fecha;H;2020           ;13             ;               ;1989/09/19;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
680;Error en formato de fecha;H;2020           ;13             ;               ;1992/05/28;28             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CHIAPAS        ;             ;1              
681;Error en formato de fecha;M;2020           ;13             ;               ;1986/06/27;34             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;DURANGO        ;             ;1              
682;Error en formato de fecha;M;2020           ;14             ;               ;1994/05/28;26             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
683;Error en formato de fecha;M;2020           ;13             ;               ;1986/09/17;34             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;VERACRUZ       ;             ;1              
684;Error en formato de fecha;H;2020           ;14             ;               ;1985/02/28;35             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;CUBANA  ;EXTRANJERO     ;             ;1              
685;Error en formato de fecha;M;2020           ;13             ;               ;1990/11/27;30             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;OAXACA         ;             ;1              
686;Error en formato de fecha;H;2020           ;13             ;               ;1989/09/27;31             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;PUEBLA         ;             ;1              
687;Error en formato de fecha;M;2020           ;13             ;               ;1985/09/25;35             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CHIAPAS        ;             ;1              
688;Error en formato de fecha;M;2020           ;14             ;               ;1991/11/29;29             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
689;Error en formato de fecha;M;2020           ;13             ;               ;1992/04/06;28             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;DURANGO        ;             ;1              
690;Error en formato de fecha;H;2020           ;13             ;               ;1982/12/02;37             ;DOCTORADO   ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;DOCTORADO EN PROBLEMA;MEXICANA;PUEBLA         ;             ;1              
691;Error en formato de fecha;M;2020           ;13             ;               ;1972/01/09;48             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;CDMX           ;             ;1              
692;Error en formato de fecha;M;2020           ;14             ;               ;1990/10/21;30             ;DOCTORADO   ;COMPLETO      ;DEIS EN ZOOTECNIA         ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
693;Error en formato de fecha;H;2020           ;13             ;               ;1987/04/25;33             ;DOCTORADO   ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;DOCTORADO EN PROBLEMA;MEXICANA;MORELOS        ;             ;1              
694;Error en formato de fecha;H;2020           ;13             ;               ;1988/08/28;32             ;DOCTORADO   ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;DOCTORADO EN PROBLEMA;MEXICANA;MÉXICO         ;             ;1              
695;Error en formato de fecha;M;2020           ;13             ;               ;1988/08/07;32             ;DOCTORADO   ;COMPLETO      ;DEIS EN FITOTECNIA        ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
696;Error en formato de fecha;H;2020           ;13             ;               ;1978/04/02;42             ;DOCTORADO   ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;DOCTORADO EN CIENCIAS;MEXICANA;MÉXICO         ;             ;1              
697;Error en formato de fecha;H;2020           ;13             ;               ;1992/04/29;28             ;DOCTORADO   ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;DOCTORADO EN RECURSOS;MEXICANA;DURANGO        ;             ;1              
698;Error en formato de fecha;M;2020           ;13             ;               ;1985/05/09;35             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CRUCO   ;MAESTRÍA EN CIENCIAS ;MEXICANA;GUANAJUATO     ;             ;1              
699;Error en formato de fecha;H;2020           ;13             ;               ;1994/11/02;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CHIAPAS        ;             ;1              
700;Error en formato de fecha;H;2020           ;13             ;               ;1994/12/03;25             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;VERACRUZ       ;             ;1              
701;Error en formato de fecha;H;2020           ;13             ;               ;1983/05/01;37             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;JALISCO        ;             ;1              
702;Error en formato de fecha;M;2020           ;13             ;               ;1994/06/20;26             ;MAESTRÍA    ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;VERACRUZ       ;             ;1              
703;Error en formato de fecha;M;2020           ;13             ;               ;1988/09/07;32             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CDMX           ;             ;1              
704;Error en formato de fecha;M;2020           ;13             ;               ;1994/11/30;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;MAESTRÍA EN INGENIERÍ;MEXICANA;GUERRERO       ;             ;1              
705;Error en formato de fecha;H;2020           ;13             ;               ;1988/08/02;32             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;PERUANA ;EXTRANJERO     ;             ;1              
706;Error en formato de fecha;H;2020           ;13             ;               ;1994/03/28;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;MAESTRÍA EN INGENIERÍ;MEXICANA;HIDALGO        ;             ;1              
707;Error en formato de fecha;M;2020           ;13             ;               ;1987/03/09;33             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;MÉXICO         ;             ;1              
708;Error en formato de fecha;H;2020           ;13             ;               ;1990/02/08;30             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;             ;1              
709;Error en formato de fecha;M;2020           ;13             ;               ;1986/01/03;34             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CRUCO   ;MAESTRÍA EN CIENCIAS ;MEXICANA;MICHOACÁN      ;             ;1              
710;Error en formato de fecha;H;2020           ;13             ;               ;1995/01/26;25             ;MAESTRÍA    ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;VERACRUZ       ;             ;1              
711;Error en formato de fecha;H;2020           ;13             ;               ;1994/04/21;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;MAESTRÍA EN INGENIERÍ;MEXICANA;GUANAJUATO     ;             ;1              
712;Error en formato de fecha;M;2020           ;13             ;               ;1994/07/14;26             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;MÉXICO         ;             ;1              
713;Error en formato de fecha;M;2020           ;13             ;               ;1992/10/22;28             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;HAITIANA;EXTRANJERO     ;             ;1              
714;Error en formato de fecha;M;2020           ;13             ;               ;1992/12/31;27             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CRUCO   ;MAESTRÍA EN CIENCIAS ;MEXICANA;CHIAPAS        ;             ;1              
715;Error en formato de fecha;H;2020           ;13             ;               ;1983/09/17;37             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;TAMAULIPAS     ;             ;1              
716;Error en formato de fecha;M;2020           ;13             ;               ;1994/08/25;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;MÉXICO         ;             ;1              
717;Error en formato de fecha;H;2020           ;13             ;               ;1991/05/30;29             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;             ;1              
718;Error en formato de fecha;M;2020           ;13             ;               ;1995/01/08;25             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;MÉXICO         ;             ;1              
719;Error en formato de fecha;M;2020           ;13             ;               ;1977/09/06;43             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CDMX           ;             ;1              
720;Error en formato de fecha;H;2020           ;13             ;               ;1993/04/19;27             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;MIXTECO      ;1              
721;Error en formato de fecha;H;2020           ;13             ;               ;1994/09/03;26             ;MAESTRÍA    ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;             ;1              
722;Error en formato de fecha;M;2020           ;13             ;               ;1987/02/07;33             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;CDMX           ;             ;1              
723;Error en formato de fecha;H;2020           ;13             ;               ;1986/02/05;34             ;MAESTRÍA    ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;MAESTRÍA EN INGENIERÍ;MEXICANA;OAXACA         ;             ;1              
724;Error en formato de fecha;M;2020           ;13             ;               ;1992/05/04;28             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;MÉXICO         ;             ;1              
725;Error en formato de fecha;M;2020           ;13             ;               ;1985/09/16;35             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;JALISCO        ;             ;1              
726;Error en formato de fecha;H;2020           ;13             ;               ;1993/10/19;27             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;MIXE         ;1              
727;Error en formato de fecha;M;2020           ;13             ;               ;1979/05/26;41             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CRUCO   ;MAESTRÍA EN CIENCIAS ;MEXICANA;MICHOACÁN      ;             ;1              
728;Error en formato de fecha;H;2020           ;13             ;               ;1995/04/19;25             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;VERACRUZ       ;TOTONACO     ;1              
729;Error en formato de fecha;M;2020           ;13             ;               ;1996/12/27;23             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;             ;1              
730;Error en formato de fecha;H;2020           ;13             ;               ;1993/02/12;27             ;MAESTRÍA    ;COMPLETO      ;DEIS EN IRRIGACIÓN        ;CHAPINGO;MAESTRÍA EN INGENIERÍ;MEXICANA;GUERRERO       ;             ;1              
731;Error en formato de fecha;M;2020           ;13             ;               ;1993/08/29;27             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;PUEBLA         ;             ;1              
732;Error en formato de fecha;H;2020           ;13             ;               ;1995/08/17;25             ;MAESTRÍA    ;COMPLETO      ;CIESTAAM                  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;OAXACA         ;             ;1              
733;Error en formato de fecha;M;2020           ;13             ;               ;1992/03/31;28             ;MAESTRÍA    ;COMPLETO      ;DIRECCIÓN DE CENTROS REGIO;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CDMX           ;             ;1              
734;Error en formato de fecha;M;2020           ;13             ;               ;1994/09/13;26             ;MAESTRÍA    ;COMPLETO      ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;GUANAJUATO     ;             ;1              
735;Error en formato de fecha;M;2020           ;13             ;               ;1989/01/27;31             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CDMX           ;             ;1              
736;Error en formato de fecha;M;2020           ;13             ;               ;1993/09/15;27             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;OAXACA         ;             ;1              
737;Error en formato de fecha;M;2020           ;13             ;               ;1995/09/20;25             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;PUEBLA         ;TOTONACO     ;1              
738;Error en formato de fecha;M;2020           ;13             ;               ;1994/04/04;26             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;OAXACA         ;             ;1              
739;Error en formato de fecha;H;2020           ;13             ;               ;1991/05/06;29             ;MAESTRÍA    ;COMPLETO      ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;MAESTRÍA EN CIENCIA Y;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
740;Error en formato de fecha;H;2020           ;13             ;               ;1983/09/13;37             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;COLOMBIA;EXTRANJERO     ;             ;1              
741;Error en formato de fecha;M;2020           ;13             ;               ;1997/06/07;23             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CHIAPAS        ;TSOTSIL      ;1              
742;Error en formato de fecha;M;2020           ;13             ;               ;1950/02/03;70             ;MAESTRÍA    ;COMPLETO      ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;MAESTRÍA EN CIENCIAS ;MEXICANA;CDMX           ;             ;1              
